/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 11:19:08
 *********************************************/
n = 337;

m = 309;

g = 50;

d = [50.19416190461239, 53.3844782982806, 51.766570324002586, 50.03883034917715, 50.17920355224364, 50.02018038725847, 52.730788880362155, 51.1207278465401, 50.48534454312999, 52.990739648866395, 53.09731256060357, 50.58963777023266, 51.16633281234742, 52.33206776218319, 51.59386788059015, 53.12080001963875, 50.98650132691816, 50.543271858834075, 52.76771830301341, 52.200542563604024, 51.1694389433002, 49.81710530407192, 49.81420569683983, 53.11863074725481, 51.63101209435644, 53.63699057427313, 51.28071126370235, 53.60127263135648, 53.30618204481497, 50.26297828318639, 50.16069832306983, 53.41474852964655, 50.88596821451529, 50.250705809504254, 50.736719088012876, 49.81639790070754, 51.01497556599421, 51.02841798123084, 50.57977423957246, 51.239994863613745, 53.48474883858325, 53.46867431165804, 50.52347783502715, 49.952760162304585, 53.06212445678631, 51.444635725678516, 51.60817956861651, 50.20449035645905, 49.93480429856411, 50.96860245955279];

