/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 12:15:33
 *********************************************/
n = 449;

m = 438;

g = 150;

d = [50.13074316342052, 53.27135864061224, 53.39536221584251, 49.825548275741376, 52.78998610544599, 51.43026465943688, 50.2414871087495, 52.40999858310835, 51.38656167635099, 50.402049681155894, 52.987717383313885, 53.254068402431905, 51.432895685302206, 49.73883621035153, 53.05618205608237, 53.342724048016414, 53.190672801484865, 49.81370151330716, 51.67954441552366, 52.37259782174643, 51.876483586604515, 51.0942911248549, 52.50156271384234, 50.104361898811035, 52.08913099351554, 52.519243188263516, 52.63288789165136, 52.46677683358092, 51.00832069587376, 52.02603546778485, 53.330983794545695, 51.53670060997452, 51.48047220886175, 51.32815843858844, 50.2951653795526, 49.99202851378061, 51.18866225824399, 51.10221917936795, 51.323896430581016, 50.30015209928459, 50.44111465004761, 50.238391599904006, 52.57921745175585, 52.45450849380813, 52.184390374425824, 50.10331167701918, 53.439596852046165, 52.67498118881153, 50.79058989244044, 52.414867426890595, 52.77190117247474, 53.18500344960851, 53.046596786545, 52.77493876467564, 50.67461643815926, 50.559229962701494, 52.19476251287608, 51.00290965739781, 51.02380132696673, 50.45776501013196, 52.4620787955298, 50.33589537641752, 50.34029692367845, 53.285104683158224, 51.90779889602742, 49.977282413563245, 53.034121298775105, 49.78512338938609, 50.22061145392547, 53.12403833189838, 52.04566088710083, 49.9766526034811, 53.307284873020926, 51.03075806528022, 51.82857838576962, 51.31792783620016, 52.74047140558139, 53.523054030389254, 51.34910811452506, 52.658451823045816, 51.21957073801241, 50.63962475105138, 50.849121889071874, 51.573075792752675, 50.32102607110035, 50.2910343668736, 53.26119480302626, 50.30946768908807, 51.82103797149054, 52.8717131591104, 51.02597847172349, 53.68206523934087, 51.16176886054434, 52.25486916370657, 51.144652508381355, 53.04222425621187, 51.999976843712375, 51.403687818080606, 52.838579661555706, 51.56429581738845, 52.75442537031547, 53.678819337903406, 50.04591375255895, 51.80313588767134, 51.63149422795061, 50.17793530936278, 52.1103752136026, 52.75919191230091, 53.554167706815825, 49.802152918084815, 51.53455798251484, 50.93334338029741, 49.726440653902664, 52.70403380304799, 52.47662816921281, 52.23268991921685, 49.733529533987316, 49.76860655247031, 49.96902693849955, 53.45683086503799, 53.394872388974015, 51.66068604464521, 52.35288029797459, 51.073230776302665, 50.15937241477537, 52.04103844317824, 49.99143976174564, 52.74360783656414, 51.08295143814274, 52.2101903690632, 51.605951430239635, 51.77637140515863, 49.92673167137248, 50.17787849659585, 53.095488886460295, 52.68974077664693, 51.109091281692955, 52.90685281023365, 52.31892769959564, 51.613229760924405, 52.67549945298408, 53.61749740943384, 51.72502773676924, 53.37873201747105, 53.34804722421126, 51.44712368813155, 52.871257080851365, 50.78699858236816, 52.610701543871734, 52.680408525825044];
