/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 16:06:00
 *********************************************/
n = 179;

m = 184;

g = 300;

d = [53.19168677961149, 51.04715091421445, 51.420259031046896, 51.468390973310505, 52.00334167988221, 51.95500889824834, 50.16787673909421, 50.38837475516387, 51.06689635338524, 52.4493855226633, 51.22430819067326, 52.215780963365106, 51.23364256431931, 52.104673471916676, 50.13319335257695, 51.95995588903843, 53.295188124183696, 50.89930439932556, 51.0138362174691, 50.62710766245225, 51.65700006396017, 53.20373734107701, 52.37810885203776, 50.38833682406769, 51.1386930983907, 53.35974259622863, 51.90022075256695, 51.97562798975918, 53.458577381101236, 52.96752747684592, 51.82939321288011, 52.951290637697674, 51.21009858831531, 52.40145554068277, 52.6919912351033, 50.60401358009567, 50.44926998758485, 50.74560526509845, 51.60001200057592, 51.768377726550206, 52.59638310014048, 51.107938583242316, 49.72668370911536, 49.73101111328983, 53.11817752948282, 52.244245878499626, 51.886011615030995, 53.54843128612488, 51.528960796591754, 51.619397076316474, 50.293175668721446, 50.72545850397235, 53.34568302122278, 49.91323227886557, 50.11859841148047, 52.70644464018659, 51.27851676398111, 53.35238052730259, 52.74117680511939, 53.620949570896336, 52.24007970323018, 53.08888946001825, 49.83871804468952, 53.43624865745801, 53.45490262344161, 52.43930049246971, 51.122710601745524, 50.27017582381223, 50.1321449455945, 51.526186785069434, 52.94757900405368, 53.25020194226819, 50.6939508440105, 51.04007487874891, 49.87405088768609, 49.8331795661564, 53.651575958490604, 52.61777015757413, 51.79260987611355, 53.654946285587876, 53.48156454113441, 51.14781548090974, 50.06529076793134, 53.679750898231404, 50.0020380127382, 53.18405587142758, 53.223388220281294, 50.08846511230303, 51.14377790179894, 50.79507785363124, 51.23466021292327, 51.175405118946465, 50.8104100931365, 50.76053356974278, 50.63268303647554, 49.83474898251512, 52.47633061392649, 51.51564586466617, 52.57140146527091, 51.80070266800789, 52.05990206279921, 51.9030226863672, 52.04222517745746, 51.128902511448715, 52.857389627938346, 51.59613116274375, 50.069693922938626, 49.78090138161053, 51.19817189010293, 53.00852275787611, 52.46898177688133, 50.79517449616369, 51.98492505029981, 50.38965006747445, 53.001570958387006, 52.48459006360942, 53.271524999425715, 52.642813518873645, 51.01623466708437, 52.34771069825558, 53.497446541251364, 50.1037100075229, 53.265710079451296, 51.443757871825454, 49.92606791270102, 53.36770356917266, 51.196595142743746, 51.034986960792644, 50.882810363155926, 52.76070082684662, 49.84877520615274, 51.00645272894184, 49.82061485488463, 53.60244072376097, 49.800305079309666, 51.67560128876524, 51.632492187975444, 50.29709103350904, 51.8826935585119, 52.30215677768963, 50.780655966572944, 52.39406990102208, 50.5280147940191, 52.69973772873431, 49.9281092610598, 51.84348462830012, 53.68859832749541, 51.23905838163016, 50.61957460202394, 50.42768902155542, 50.72521746282674, 52.83423176848884, 53.311665781966404, 51.28895707035678, 52.27723272617066, 51.420088411114776, 49.825782598310056, 52.793763252805334, 53.177809434446175, 52.72002418192267, 53.64522504045251, 53.5283933810399, 50.60317459885742, 50.754162858248144, 52.92353165352036, 51.319946090887605, 52.64423885713662, 52.11018880425726, 51.5976887205198, 51.625367672342165, 51.50723106086522, 51.87549079291276, 53.39565806202397, 50.84126832368155, 53.42482990607614, 52.717285612425236, 52.570635328368866, 52.385722848797485, 51.88480297145963, 52.71569901485895, 52.09404401565677, 52.8518873218702, 52.89984155817204, 52.40799097935829, 50.86968743171869, 51.290305583513714, 53.207265186165735, 51.471325119446114, 52.472284443162835, 50.90811556838699, 51.647690497448046, 51.65819815656915, 50.170950770878875, 52.61355432218457, 50.84849867244327, 50.63337954891731, 50.650573781438446, 52.27951703768121, 51.584378097331836, 51.00804824785816, 52.1355989089662, 50.5691010159956, 52.73805282640946, 52.878027465740196, 53.41979195244642, 50.02486985610896, 51.715956098654544, 50.77810142567291, 52.272477610138345, 52.21806425845543, 50.08639766682419, 52.29984430948712, 52.39104190004757, 51.57712034229611, 52.062588788210014, 52.758773162123866, 51.80981079728504, 53.68119333850649, 51.22433367233279, 52.215455000860125, 51.42492318107724, 53.29256223166331, 52.113347969152926, 50.500709786356694, 51.80152671653466, 53.526118282296075, 51.23167637917766, 49.71180779550258, 51.33455332621214, 49.82952233471683, 52.804310908115426, 51.63389613877427, 50.52253428258233, 50.423304452317375, 52.15842932208052, 50.62769044206367, 53.43590596945342, 52.34994731082355, 52.517967044534906, 51.95548821992523, 50.34598792042786, 50.24044282089483, 49.701248429841236, 53.61709425397959, 53.22933881120284, 50.62858457175697, 51.05894916677708, 50.644117951089974, 53.68485029497329, 51.971979374011745, 52.89925511716655, 51.88976416460198, 52.342425264474464, 50.57686133675682, 52.37483959139939, 51.947862032770814, 52.36315047101738, 49.85033667060165, 52.31646692841248, 52.830264865286345, 52.29951448135584, 52.95695640211227, 51.7747727250319, 50.0450715956566, 50.71423632955168, 50.01464504534461, 52.98129158898619, 52.02892830591349, 50.387139486486014, 53.284588966995386, 51.39156859481106, 50.43217323290568, 51.58518040423981, 52.910943546694256, 52.32880793266364, 49.7648526256611, 50.43369835016511, 50.01906224208328, 51.694193114880115, 51.33810767827273, 49.73734682379162, 50.68730256168835, 51.66266294800392, 53.403268380279215, 50.97761067231585, 51.05535922221658, 52.87668051972264, 52.21959651217253, 52.82466117062858, 52.72529756224821, 53.40977006994243, 53.27644049472379, 52.67286588212864, 50.7722827667678, 49.90055464860258, 51.4198825079993, 50.270454307491754, 51.62104359141879, 51.14368482477054, 51.4893987883126];

