/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:46:33
 *********************************************/
n = 694;

m = 934;

g = 7;

d = [52.269944323791975, 52.467245486656914, 49.714644294438, 49.80461004333862, 51.981693641211336, 52.12385973224914, 53.02002131967337];

