/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:48:26
 *********************************************/
n = 1000;

m = 1000;

g = 7;

d = [50.9347023883035, 52.47707089986153, 50.27309112060464, 53.13070442995562, 50.04678980427733, 50.50434019805818, 52.17907074702983];

