/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:43:22
 *********************************************/
n = 500;

m = 500;

g = 7;

d = [53.117472485962445, 50.5640706773123, 53.67879017357623, 52.8362255718964, 49.77737786405494, 51.10085518873273, 51.33044566869464];

