/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 11:11:10
 *********************************************/
n = 295;

m = 228;

g = 30;

d = [50.71114904669576, 53.5569097508318, 51.84696067844543, 53.398785498225585, 53.088681575372284, 52.36771834815965, 51.632808521290876, 51.65549019257085, 53.69785842962671, 50.82956551095004, 51.87738888156391, 52.846069835559746, 52.26268491512459, 50.94855304177883, 52.78691157937193, 51.694737660603614, 52.336586637759915, 49.85349735600274, 51.79081552295996, 51.857663140040756, 50.94071135782567, 51.03327874901705, 50.99661221245536, 51.425988841618825, 50.73030906082827, 51.43075569974773, 50.58697126959257, 50.464521867174845, 51.9520472395205, 53.277178085493034];

