/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 15:42:16
 *********************************************/
n = 512;

m = 580;

g = 365;

d = [51.55093259011541, 51.34591012910433, 51.9210521788579, 52.21232613275037, 53.59048716965402, 51.37624652965013, 52.946519403067164, 49.789464188945, 52.777451188972385, 53.61007371637265, 52.60110596138526, 52.974060187881506, 51.726612386459124, 50.34721350015857, 50.57639393663125, 53.30108835465537, 51.99051663198585, 53.495155987818904, 53.608989249372875, 52.228406370104544, 51.468636366955515, 51.974104958622135, 51.23692671373174, 50.35565682794306, 52.36552766133347, 50.42487969667434, 51.189350017296896, 49.88280268429419, 51.255266722041796, 52.78976211502609, 51.750961556759414, 50.31044317090756, 53.17110536397019, 53.37601419371579, 52.79031698397896, 49.75756823722879, 49.978697409960766, 51.31656765801632, 51.98376057846765, 49.90014778410634, 51.10538163945475, 53.44568509416518, 53.61398705084274, 51.44992570566148, 52.346980110655615, 50.8332175894162, 53.13599383952385, 51.6198556392431, 53.60498412662755, 50.14099646116058, 51.89518493297846, 50.71063696851438, 50.92809846867584, 51.519697100027024, 52.53788604613023, 53.45694489223494, 51.37066911889153, 50.1611240574911, 52.86464929539139, 50.697207024130016, 51.30765816190593, 53.40311228325064, 53.1995826788033, 52.32024449401738, 52.43398139358905, 53.69670892969612, 52.177950457995884, 50.79209754633239, 50.71356365668371, 49.72982720304308, 51.09221676824796, 52.56192954252837, 53.12509908268795, 50.73547353277946, 52.249879338582026, 51.68507002883646, 52.761716758366624, 50.51142553631782, 53.60595321707072, 51.61554986864066, 53.24031130044189, 52.41282572913751, 51.09879186421141, 50.418010649812345, 49.89589694586852, 50.783778621486405, 50.56542836675228, 52.06457901030758, 51.39038137665203, 51.93607675684468, 51.57349069526612, 51.299069257267874, 52.42073542097446, 52.65274883363794, 51.32461432355583, 52.60530275738761, 52.11267324469439, 52.32466054747661, 53.5095866400482, 50.41105658625339, 50.637824744061795, 51.221361689418494, 52.24119261645307, 53.088067423080936, 53.025898587016556, 51.56708128828248, 53.42017155179726, 49.931948432613105, 50.75470062331873, 50.32964424785486, 50.85424436561154, 50.086410608914356, 53.00053185666146, 50.18215477307421, 51.67416277451584, 51.35517532582131, 52.786223070080446, 53.59963411927717, 49.76994702082384, 52.70035024703264, 50.634096908277876, 50.04720396896839, 50.951090385344926, 51.1558752170946, 49.83243678290383, 51.511448713454605, 53.11197932659343, 50.00315702981123, 53.05617631922398, 53.47262929447261, 50.38784760885751, 50.246832490371446, 53.00917338823181, 51.44705197652093, 51.10913656686936, 51.59069463843988, 53.043230996555586, 50.57460847623042, 50.484606926911205, 52.210594378673676, 51.815459791025766, 52.45570132227108, 50.50417351066193, 52.20853586981006, 52.27562169982912, 51.40512187791611, 52.38061876006775, 52.436185045161615, 51.27831610617958, 50.152949460759125, 52.45724511640755, 53.28300614061741, 53.18755020511574, 50.21095767328041, 52.97146981521634, 53.33441054706303, 51.246107844297256, 52.39359338291785, 50.5362575475954, 53.53656517934137, 50.826677574484656, 52.64007239980974, 51.770047136120525, 53.32235210616638, 52.66104606688488, 51.72600635731941, 52.83114802168684, 50.77545507283464, 52.71484067300551, 51.815222450319126, 53.498522663175855, 53.11397065817182, 53.62756871860169, 51.854968238355525, 49.93033024132333, 51.02083456617532, 50.123988028398614, 52.63104232261815, 53.581115901504496, 51.08217972392655, 53.310194137142744, 49.83329299041317, 53.071216859508134, 53.1540396587471, 51.05683707998572, 51.38971546542627, 51.77157728335257, 50.50212890630244, 51.82145783845727, 52.12183797704443, 50.514324840870465, 49.93370991684106, 52.40523405006084, 49.77983735979071, 52.0336590783202, 51.975172502787615, 49.89417242073189, 53.5433701512979, 50.39467178744865, 51.338445735548255, 52.23084849439769, 52.805240843818495, 52.61829172376041, 51.928610631125444, 50.695348807605335, 52.79490673892569, 50.66504763600855, 50.80431139965467, 51.848619322219726, 50.55275923977935, 52.473772329604245, 52.597176485367626, 53.27443855266226, 50.582631251020345, 52.92998766623659, 51.959025410330874, 50.02965794344029, 51.93725555772524, 50.87339471907806, 52.658926282044284, 50.493361806791725, 53.50983404282881, 53.035856926692404, 52.15608462984756, 50.963675837067825, 51.39168870437205, 53.34425067256982, 51.995996811343495, 50.22492863152573, 50.194376577998, 53.12829698238512, 52.10077068299742, 51.524927153416975, 52.326306410255626, 53.00019072283425, 49.97688682038913, 50.74069568080935, 51.806587718925805, 53.38684826177419, 50.103218507005685, 51.50699422651955, 51.11049736457017, 51.23352447432194, 53.63200141159064, 50.41661259141507, 52.25098832115509, 51.456814866499265, 50.73458656614085, 52.999798809890805, 52.070895984833214, 53.16198156345434, 50.13323555279817, 51.82388484387558, 50.21229950720596, 50.04509019283884, 49.92050031323198, 52.666847036173856, 53.63629310233408, 51.32308051656865, 52.73629437952752, 51.17670884083755, 52.72206373435542, 52.18322648867406, 52.72229840875802, 53.606286865484485, 51.761686229134504, 51.43016380957185, 52.32057337436402, 53.03481335450957, 52.91996055208646, 53.40103811362008, 50.90097329786766, 53.17519883060262, 51.28584928270094, 50.27059910509912, 52.762596735629764, 53.49295352261656, 50.79136216305135, 51.032522681457394, 51.26117561975992, 51.26391163108813, 53.426303000978095, 49.91284989373931, 51.79354210390053, 52.114615208236124, 52.425286156298725, 52.00936186359782, 50.39067659596927, 50.68976755829651, 50.3276607192388, 53.08243364227115, 50.90365669425256, 51.26415627986088, 50.60856315948318, 50.49072455450029, 53.373936341747886, 50.85968072409314, 53.60600522496018, 51.81193601153336, 51.33221485873335, 52.88329072785743, 52.281009058858785, 52.511175098650135, 50.06482114026691, 53.45425585917952, 52.979766623007485, 51.382427339728245, 51.07676551398278, 52.15287345567493, 53.262000468805056, 53.35719281739612, 52.822907779842396, 50.365818226940824, 49.807031467224235, 50.161887645798934, 51.967021087423895, 52.662275534456164, 51.968885879225034, 52.319723803933684, 51.30778845072263, 49.77802522738479, 50.69652959944331, 52.614449420606604, 53.68402842790096, 50.3692241304187, 53.66374572767262, 50.77754199209062, 50.64850656869656, 53.36814890362302, 51.60427862012073, 51.484841491275304, 52.90205376982745, 53.30395984020889, 52.07901040205924, 50.49915008195418, 53.48443256201263, 51.76528445438673, 51.467262689037774, 51.54981124995136, 50.47601167437915, 50.25309606570434, 52.41747996023259, 53.58384643368526, 52.889507434752936, 51.67317561927332, 50.640679030743385, 51.89443330649475, 51.58095241764591, 51.5702031256754, 50.923984207335636, 53.232245310589754, 51.141049957596614, 51.265418565269826, 50.23514673149686, 53.4710607170522, 53.48203742340021, 53.434474076805266, 50.86727282173057, 51.087349792597905, 53.66404371738575, 50.319904200565155, 50.82367061756075, 49.96579306412541, 53.050743913316815, 50.795053082249865];
