/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:56:30
 *********************************************/
n = 3000;

m = 3000;

g = 7;

d = [52.49642664405869, 50.61461448382042, 50.77158881951403, 50.07921732136884, 50.88612677437249, 52.37427643777724, 50.69163880850357];

