/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 20:40:10
 *********************************************/
n = 214;

m = 233;

g = 300;

d = [50.61854400875961, 50.203247502598764, 50.63563184999935, 53.21022797208666, 50.26604164784159, 52.49961430375168, 50.81071658657963, 52.569641080274536, 50.40290600166193, 50.94720597989114, 51.434979245983, 51.46872773461544, 52.092824562004864, 52.0767178721288, 52.60906490550018, 51.44209358907715, 52.689535473350915, 51.00981570875755, 52.559895325276955, 53.222138477334, 52.074808970406224, 51.264307394457504, 51.3739708325463, 50.083452268660736, 51.45562419052733, 49.945510531946624, 52.29303174828267, 53.60663077198336, 51.493218313442064, 52.59323874462961, 49.953697979089895, 51.10615796072656, 50.79488393192989, 53.07431666427239, 50.74846690835824, 52.42695209873324, 53.107826797919195, 50.441226939004345, 53.341643024246025, 53.53330077053614, 53.02905757804935, 53.60744637338869, 52.199462474827826, 51.008645364403435, 52.612000183209, 52.77668951566534, 52.19954484466949, 52.22155480729552, 51.01266215589109, 51.25376118540316, 50.61389200899415, 52.98744020471376, 51.1988795791075, 53.252714401217794, 51.65541926497278, 50.70915729383547, 49.88913023932807, 53.083167193396164, 51.461294021265545, 51.461998898343204, 50.85665447587561, 50.4042364077456, 49.86837768378398, 52.67799851486525, 52.6431365270968, 51.56968549065763, 49.998461245688276, 51.539177083426786, 50.32569548260759, 52.7537398472335, 53.37026091908135, 50.97369114807243, 53.12801244371446, 51.001347611614236, 53.28932976980759, 52.93230797255476, 53.35721580698995, 50.62976643982229, 52.71071372211226, 53.437569684088075, 52.44275021310758, 51.952208020996146, 50.557521841275054, 52.233595167581996, 52.019890952028895, 50.103750789699035, 52.22635831802471, 52.47582794283168, 52.091053491217004, 51.07969456856709, 50.787658709587234, 51.81480595468274, 50.54392440893492, 52.72415898339273, 49.71154252475307, 50.22030304762591, 53.686710095430875, 52.43922971689073, 50.46767119402736, 52.452814230247995, 52.55557102672045, 53.68584883323991, 50.74703971400354, 50.968514672924485, 53.03109926598112, 50.63681137420535, 52.826419895727135, 51.47251485111479, 50.76594350722794, 51.61043593867377, 50.11131003114153, 51.46678450289448, 51.30688930911358, 52.19432235387779, 52.88614681818929, 50.30997831336326, 49.84744376577248, 53.29195659974307, 52.20254207128832, 50.411016586665085, 52.26878752133461, 53.45957249498718, 51.029452150897555, 51.29459292690661, 51.83853316330329, 52.18891450405995, 51.16109213209558, 53.18531383680938, 49.82856397041365, 53.18377744620176, 51.90416657587399, 53.438302900992525, 53.36262994432633, 50.99299109312922, 52.52679163822004, 51.37082267443008, 51.27902804412468, 51.970177095849124, 50.61244654158857, 51.08355169862479, 51.87855611280208, 50.396818141975295, 51.44681998527913, 51.447605927332894, 51.30900637851309, 51.65198416077784, 52.40033224741023, 53.19841061531679, 50.78141688904351, 50.235526054241674, 50.652609717411934, 52.49182251575282, 53.224718254119864, 50.24721162304912, 53.05168207580987, 50.19549165859255, 51.32765544233136, 53.6444783985855, 53.25776330140227, 51.251772828925766, 53.007478282191364, 53.37395675106458, 51.34187662972875, 52.869503436521754, 53.2472740021797, 53.15982353878187, 53.25124131892921, 52.69570662133258, 50.477352163726, 53.27363794827812, 53.088681130090755, 51.6716654213643, 51.8643999337852, 51.105645510253254, 53.30800790521311, 52.51663796990408, 52.282871868635524, 52.04135233995486, 52.60082900210407, 53.20757993089806, 53.46375744800557, 52.69764535281614, 50.94760236473219, 52.94065691933949, 53.09695183960883, 52.642519516872945, 51.896004082390476, 49.9155437515483, 52.73211857768736, 51.37714778718626, 51.4007370426119, 51.73613585368052, 51.28424434106357, 53.69577166580925, 50.28442545505352, 50.671145132655234, 50.09790915433467, 49.89641859963809, 52.09127407691724, 50.32526363052284, 52.120918012115006, 53.51755841125753, 50.55497127467223, 53.45124353059731, 50.02420995574997, 51.790593141754165, 53.04321034571471, 51.89279641600797, 53.14578236125575, 50.27199394828606, 52.7065661937079, 52.701756215366544, 53.31246022596105, 50.31532096708882, 53.36337360851732, 50.84082413786157, 50.15476642475875, 53.1408242216179, 50.89274187558635, 49.733848741020935, 53.01086718531199, 52.69392512565701, 52.77673552843104, 53.51298433088452, 50.376139582621086, 53.23281952805299, 50.306404204724046, 53.208282395268625, 49.82858963197552, 52.71466008692844, 53.35382830707523, 53.31138427120201, 53.03122409552613, 53.529883459579366, 52.13508853069055, 51.745282075190175, 52.83010682218965, 52.7776154347998, 51.08323865360115, 51.156171937554255, 53.076205427587, 51.74522576685151, 51.49915870959624, 51.9200366801511, 51.659059303689375, 53.50299697241709, 53.088707859991615, 52.32413731535733, 53.14991905796032, 49.82579142828122, 53.0777515474381, 52.28135053102151, 51.77877477911651, 53.47632816958385, 52.287730998681845, 50.164430733285336, 51.44960728991896, 51.48737011708421, 51.10336957212842, 53.23617852522014, 52.9927734459842, 50.990991850817004, 52.880944434377824, 52.73636253227469, 51.78136324512884, 51.172569337606916, 53.01936076148063, 50.222955185917534, 53.372089502968336, 52.92353573310761, 51.62074960977579, 49.89227901358382, 50.69440453288585, 51.28864605961084, 52.5874157881551, 53.09240293714976, 52.904932659906585, 51.094389491839536, 52.87416646098344, 53.205411641053274, 52.306600219874234, 52.77345329497614, 51.20338206956074, 51.54834553560123, 50.09954195338741, 50.32255781778258, 52.453378575125406, 52.32032984741696, 51.584118580997504, 51.88003135415253, 51.14521814805943, 50.78498955979036, 50.288788707778636, 50.78308458974619, 50.99776061569945, 52.208801052307784, 49.92083737984771, 50.85885069036717, 52.43230186737373, 52.3605386186757];

