n = 9028;

m = 9452;

g = 7;

d = [51.197858417069185, 50.88900778569189, 52.17191960188988, 51.58976723054341, 51.8414493089036, 51.210250480568604, 53.302896411898395];

