/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 25 ott 2023 at 16:25:10
 *********************************************/
n = 2000;

m = 2000;

g = 7;

d = [51.53800817127363, 49.94801107215479, 51.316593196125254, 50.42462156592984, 52.464061608760964, 51.53647366654634, 51.4077206013116];

