/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 24 ott 2023 at 12:04:49
 *********************************************/
n = 304;

m = 325;

g = 100;

d = [51.39530230096295, 50.18413394366023, 52.46666311378827, 50.44087508977678, 50.04396409367634, 52.293408343250654, 49.98523305381855, 53.530994945170164, 52.38875333726798, 52.993256784827096, 52.3737846401687, 52.54752645417733, 50.60442566079215, 52.67009165143951, 52.42365886479098, 52.97619418710747, 49.84478952848846, 51.99774334536221, 51.854166943147426, 52.65678069586148, 51.35132890955057, 49.75973289701536, 50.156494658921105, 51.650423542777695, 51.40475197202038, 51.19044151450315, 52.53692661669901, 50.96679055287764, 49.890950521623566, 52.905117230480855, 51.92504294257269, 52.72546522791272, 52.42846912432789, 51.4131805525045, 51.67546096611603, 51.162162478287506, 50.161058438755255, 52.470457809298125, 52.26567289851883, 53.132921843480375, 51.54468828335579, 50.72972485349705, 53.28004700242233, 52.59233158720708, 50.49439676040801, 51.557234280873935, 50.3454379741758, 52.61923180088415, 50.440117024270705, 51.89142019262401, 51.651583939542626, 49.81829323285381, 52.57983934017019, 52.71947572625855, 51.05823557183509, 52.864450848930275, 50.83385929114189, 52.299163294059795, 53.1540185537193, 53.063406006742774, 53.20493121826927, 52.89351600495692, 52.80291683069548, 53.61535843226458, 50.816471296238404, 52.20674329678601, 49.85195225306113, 53.60486571672863, 51.20226360072096, 52.62188253802443, 53.65996741282646, 53.20606523383431, 53.50844537011859, 53.56340311990866, 53.1477569792062, 51.921198797286266, 50.8409360425969, 51.09796390413425, 52.82278604421881, 52.44302238913713, 50.003670988812985, 51.56818877747173, 53.20780506501049, 50.20242680204999, 51.13910438103462, 51.399081112036576, 51.982037400081836, 51.34700157600776, 53.362289635731365, 50.64056882192827, 50.70061208203799, 50.95730416235373, 51.02672563900411, 50.7021323991288, 51.091981509542904, 51.64040361489677, 51.116843163931954, 50.59823422969809, 49.91913661290182, 52.547867167382215];

