/*********************************************
 * OPL 22.1.1.0 Data
 * Author: User
 * Creation Date: 22 ott 2023 at 13:52:49
 *********************************************/
n = 2819;

m = 2788;

g = 7;

d = [49.776597040408284, 50.3746606803381, 53.23938021522353, 50.091131848896225, 50.55543214005727, 51.555823842054835, 50.80360646693067];

